Wort,Sprache,Status,Deutsche Übersetzung,Aktion
GastroTools,Markenname,OK,GastroTools,KEINE
Werkzeuge,Deutsch,OK,Werkzeuge,KEINE
Funktionen,Deutsch,OK,Funktionen,KEINE
Anmelden,Deutsch,OK,Anmelden,KEINE
Registrieren,Deutsch,OK,Registrieren,KEINE
Professionelle,Deutsch,OK,Professionelle,KEINE
Gastro-Tools,Deutsch,OK,Gastro-Tools,KEINE
Alles,Deutsch,OK,Alles,KEINE
was,Deutsch,OK,was,KEINE
Sie,Deutsch,OK,Sie,KEINE
für,Deutsch,OK,für,KEINE
erfolgreiches,Deutsch,OK,erfolgreiches,KEINE
Restaurantmanagement,Deutsch,OK,Restaurantmanagement,KEINE
brauchen,Deutsch,OK,brauchen,KEINE
Jetzt,Deutsch,OK,Jetzt,KEINE
starten,Deutsch,OK,starten,KEINE
Demo-Anmeldung,Deutsch,OK,Demo-Anmeldung,KEINE
Restaurant-Tools,Deutsch,OK,Restaurant-Tools,KEINE
benötigen,Deutsch,OK,benötigen,KEINE
Nährwertrechner,Deutsch,OK,Nährwertrechner,KEINE
EU-konforme,Deutsch,OK,EU-konforme,KEINE
Nährwertberechnung,Deutsch,OK,Nährwertberechnung,KEINE
USDA-Datenbank-Integration,Gemischt,OK,USDA-Datenbank-Integration,KEINE
20.000+,Zahl,OK,20.000+,KEINE
Zutaten,Deutsch,OK,Zutaten,KEINE
Deutsche,Deutsch,OK,Deutsche,KEINE
Zutatenerkennung,Deutsch,OK,Zutatenerkennung,KEINE
Verordnung,Deutsch,OK,Verordnung,KEINE
konform,Deutsch,OK,konform,KEINE
PDF-Export,Gemischt,OK,PDF-Export,KEINE
Tool,ENGLISCH,PROBLEM,Werkzeug,ERSETZEN
testen,Deutsch,OK,testen,KEINE
Kostenkontrolle,Deutsch,OK,Kostenkontrolle,KEINE
Ausgaben,Deutsch,OK,Ausgaben,KEINE
verfolgen,Deutsch,OK,verfolgen,KEINE
Trends,ENGLISCH,PROBLEM,Tendenzen,ERSETZEN
analysieren,Deutsch,OK,analysieren,KEINE
Budgets,ENGLISCH,PROBLEM,Haushalte,ERSETZEN
verwalten,Deutsch,OK,verwalten,KEINE
Ausgaben-Verfolgung,Deutsch,OK,Ausgaben-Verfolgung,KEINE
Budget-Analyse,Gemischt,PROBLEM,Haushalts-Analyse,ERSETZEN
Lieferanten-Management,Gemischt,PROBLEM,Lieferanten-Verwaltung,ERSETZEN
Kosten-Analytik,Gemischt,OK,Kosten-Analytik,KEINE
Lagerverwaltung,Deutsch,OK,Lagerverwaltung,KEINE
Bestandsverfolgung,Deutsch,OK,Bestandsverfolgung,KEINE
automatischen,Deutsch,OK,automatischen,KEINE
Alarmen,Deutsch,OK,Alarmen,KEINE
Kategorien,Deutsch,OK,Kategorien,KEINE
Bestandsalarm,Deutsch,OK,Bestandsalarm,KEINE
Kategorien-Management,Gemischt,PROBLEM,Kategorien-Verwaltung,ERSETZEN
Ablaufdatum-Verfolgung,Deutsch,OK,Ablaufdatum-Verfolgung,KEINE
Lieferanten-Integration,Gemischt,PROBLEM,Lieferanten-Einbindung,ERSETZEN
Menüplaner,Deutsch,OK,Menüplaner,KEINE
Wöchentliche,Deutsch,OK,Wöchentliche,KEINE
Menüplanung,Deutsch,OK,Menüplanung,KEINE
Kostenberechnungen,Deutsch,OK,Kostenberechnungen,KEINE
Wochenplanung,Deutsch,OK,Wochenplanung,KEINE
Rezept-Zuweisung,Deutsch,OK,Rezept-Zuweisung,KEINE
Budget-Berechnungen,Gemischt,PROBLEM,Haushalts-Berechnungen,ERSETZEN
Export-Funktionalität,Gemischt,PROBLEM,Export-Funktion,ERSETZEN
Speisekarten-Designer,Deutsch,OK,Speisekarten-Designer,KEINE
Erstellen,Deutsch,OK,Erstellen,KEINE
professionelle,Deutsch,OK,professionelle,KEINE
Speisekarten,Deutsch,OK,Speisekarten,KEINE
Vorlagen,Deutsch,OK,Vorlagen,KEINE
Individuelles,Deutsch,OK,Individuelles,KEINE
Branding,ENGLISCH,PROBLEM,Markengestaltung,ERSETZEN
Mehrsprachiger,Deutsch,OK,Mehrsprachiger,KEINE
Support,ENGLISCH,PROBLEM,Unterstützung,ERSETZEN
Druckfertiger,Deutsch,OK,Druckfertiger,KEINE
Export,ENGLISCH,PROBLEM,Export,ERSETZEN
Admin-Dashboard,Gemischt,OK,Admin-Dashboard,KEINE
Nutzung,Deutsch,OK,Nutzung,KEINE
überwachen,Deutsch,OK,überwachen,KEINE
Leads,ENGLISCH,PROBLEM,Leads,ERSETZEN
verwalten,Deutsch,OK,verwalten,KEINE
System-Analytik,Gemischt,OK,System-Analytik,KEINE
Benutzer-Management,Gemischt,PROBLEM,Benutzer-Verwaltung,ERSETZEN
Lead-Verfolgung,Gemischt,PROBLEM,Lead-Verfolgung,ERSETZEN
System-Überwachung,Deutsch,OK,System-Überwachung,KEINE
Analytics-Dashboard,ENGLISCH,PROBLEM,Analyse-Dashboard,ERSETZEN
Admin-Zugang,Deutsch,OK,Admin-Zugang,KEINE
